id	yearBCAD
DadunziM24_1.AG	-302
DadunziM24_1.AG	-378
DadunziM26.AG	-160
DadunziM26.AG	-76
DadunziM26.AG	-158
DadunziM27.AG	-776
DadunziM27.AG	-779
DadunziM27.AG	-790
DadunziT20_3_B.AG	-1844
DadunziT20_3_B.AG	-1771
DadunziT20_3_B.AG	-1704
DadunziW27_Com.AG	-1401
DadunziW27_Com.AG	-66
DadunziW27_Com.AG	-1305
DayindongM10_LowCov.AG	-1494
DayindongM10_LowCov.AG	-1236
DayindongM10_LowCov.AG	-1243
DayindongM11_LowCov.AG	-1231
DayindongM11_LowCov.AG	-1369
DayindongM11_LowCov.AG	-1458
DayindongM1_LowCov.AG	-1242
DayindongM1_LowCov.AG	-1332
DayindongM1_LowCov.AG	-1226
DayindongM6_1.AG	-1232
DayindongM6_1.AG	-1386
DayindongM6_1.AG	-1282
DayindongM7_1.AG	-1460
DayindongM7_1.AG	-1380
DayindongM7_1.AG	-1361
DuiziM20_LowCov.AG	-1631
DuiziM20_LowCov.AG	-1510
DuiziM20_LowCov.AG	-208
DuiziM77_1_LowCov.AG	-603
DuiziM77_1_LowCov.AG	-1848
DuiziM77_1_LowCov.AG	-354
DuiziM77_2_Com.AG	-115
DuiziM77_2_Com.AG	-1891
DuiziM77_2_Com.AG	-1311
DuiziM79.AG	-1573
DuiziM79.AG	-1422
DuiziM79.AG	-829
DuiziM91_12_LowCov.AG	-641
DuiziM91_12_LowCov.AG	-1125
DuiziM91_12_LowCov.AG	-1407
DuiziM91_2.SG	-346
DuiziM91_2.SG	-663
DuiziM91_2.SG	-1290
DuiziM91.SG	170
DuiziM91.SG	166
DuiziM91.SG	183
DuiziM94_1_1.AG	-1407
DuiziM94_1_1.AG	-1795
DuiziM94_1_1.AG	-588
DuiziM94_1_3_LowCov.AG	-793
DuiziM94_1_3_LowCov.AG	-1882
DuiziM94_1_3_LowCov.AG	-312
DuiziM94_2_Com.AG	-678
DuiziM94_2_Com.AG	7
DuiziM94_2_Com.AG	-1858
DuiziM98_1.AG	-49
DuiziM98_1.AG	-1456
DuiziM98_1.AG	-290
DuiziM98_2.SG	229
DuiziM98_2.SG	204
DuiziM98_2.SG	195
GaozhaiM1_1_1.AG	-281
GaozhaiM1_1_1.AG	-320
GaozhaiM1_1_1.AG	-319
GaozhaiM1_2_5.AG	-168
GaozhaiM1_2_5.AG	-511
GaozhaiM1_2_5.AG	-433
GaozhaiM3_1_Com.AG	-139
GaozhaiM3_1_Com.AG	-357
GaozhaiM3_1_Com.AG	-496
GaozhaiM4_11.AG	-249
GaozhaiM4_11.AG	-450
GaozhaiM4_11.AG	-471
GaozhaiM4_14.AG	-364
GaozhaiM4_14.AG	-593
GaozhaiM4_14.AG	-141
GaozhaiM4_15.AG	-562
GaozhaiM4_15.AG	-485
GaozhaiM4_15.AG	-186
